,energy_delta
702,73300.0
703,12600.0
704,134190.0
705,560.0
706,0.0
707,36380.0
708,6720.0
709,5340.0
710,0.0
711,20300.0
712,17740.0
713,27960.0
714,86500.0
715,41720.0
716,11560.0
717,12920.0
718,3380.0
719,48780.0
720,112720.0
721,121960.0
722,247870.0
723,0.0
724,0.0
725,2260.0
726,27700.0
727,5640.0
728,566380.0
729,23120.0
730,45260.0
731,94620.0
732,103500.0
733,82900.0
734,64240.0
735,91100.0
736,840.0
737,48980.0
738,14340.0
739,326390.0
740,102440.0
741,135140.0
742,0.0
743,20120.0
744,11200.0
745,131360.0
746,97820.0
747,58020.0
748,97820.0
749,0.0
750,78100.0
751,124660.0
752,3640.0
753,46320.0
754,81040.0
755,14340.0
756,1960.0
757,31140.0
758,382000.0
759,0.0
760,1432603.0
761,0.0
762,17260.0
763,34180.0
764,32620.0
765,8400.0
766,3920.0
767,7580.0
768,840.0
769,65080.0
770,5720.0
771,79320.0
772,1271578.0
773,126990.0
774,0.0
775,1400.0
776,627643.0
777,0.0
778,40680.0
779,16600.0
780,74080.0
781,57200.0
782,105740.0
783,82160.0
784,14880.0
785,1400.0
786,20900.0
787,3080.0
788,85740.0
789,15540.0
790,2800.0
791,280.0
792,10640.0
793,10220.0
794,0.0
795,30780.0
796,61580.0
797,83520.0
798,9020.0
799,108700.0
800,3980.0
801,12520.0
802,25240.0
803,0.0
804,1120.0
805,1120.0
806,13880.0
807,31700.0
808,302550.0
809,5600.0
810,22540.0
811,4480.0
812,1680.0
813,16020.0
814,27660.0
815,62840.0
816,560.0
817,29540.0
818,0.0
819,7000.0
820,3920.0
821,10920.0
822,14120.0
823,59100.0
824,560.0
825,46420.0
826,0.0
827,105540.0
828,0.0
829,6720.0
830,77850.0
831,14600.0
832,277440.0
833,21120.0
834,0.0
835,0.0
836,57020.0
837,29140.0
838,1120.0
839,20380.0
840,10080.0
841,143820.0
842,32360.0
843,13000.0
844,280.0
845,20560.0
846,18280.0
847,232650.0
848,80940.0
849,49600.0
850,3080.0
851,34720.0
852,603620.0
853,101720.0
854,19180.0
855,28580.0
856,5600.0
857,3680.0
858,215270.0
859,0.0
860,0.0
861,1127469.0
862,246300.0
863,266410.0
864,9900.0
865,0.0
866,1389845.0
867,0.0
868,301890.0
869,39020.0
870,22580.0
871,6540.0
872,67560.0
873,183180.0
874,0.0
875,2240.0
876,14640.0
877,56280.0
878,341320.0
879,0.0
880,386200.0
881,0.0
882,703544.0
883,560.0
884,109100.0
885,157900.0
886,16540.0
887,15340.0
888,383670.0
889,121760.0
890,242600.0
891,74740.0
892,6860.0
893,41680.0
894,56840.0
895,88940.0
896,74820.0
897,191150.0
898,0.0
899,9720.0
900,7840.0
901,1400.0
902,38880.0
903,17180.0
904,49520.0
905,44740.0
906,93040.0
907,9020.0
908,1120.0
909,280.0
910,52760.0
911,41780.0
912,26720.0
913,99080.0
914,4760.0
915,2800.0
916,171800.0
917,10820.0
918,64100.0
919,31560.0
920,0.0
921,5120.0
922,197820.0
923,0.0
924,551660.0
925,2240.0
926,16220.0
927,67000.0
928,840.0
929,3640.0
930,96440.0
931,4200.0
932,45340.0
933,59860.0
934,2280.0
935,229240.0
936,3980.0
937,18020.0
938,11300.0
939,5880.0
940,29860.0
941,36740.0
942,150760.0
943,131760.0
944,280.0
945,18800.0
946,50300.0
947,280.0
948,0.0
949,280.0
950,57680.0
951,560.0
952,17460.0
953,840.0
954,24600.0
955,38140.0
956,1120.0
957,38460.0
958,2240.0
959,7380.0
960,31280.0
961,48220.0
962,7320.0
963,19600.0
964,88500.0
