,datetime,creator_character_id,guild_id,n_added_characters,n_removed_characters,n_talents,level,n_missions_completed,n_times_flag_turned_on,mean_place,mean_rating,n_seasons,n_characters,energy_delta,cluster,is_premuim
93,2022-12-24 16:38:42,27550015,90495,3,3,0,1,0,0,,0.0,0,0,0.0,1,False
94,2022-12-24 17:28:06,27556846,90589,28,25,12,3,166,0,,0.0,0,3,33500.0,3,False
95,2022-12-24 21:56:02,27633275,90824,2,0,6,2,170,0,,0.0,0,2,9460.0,3,True
96,2022-12-24 22:00:55,27871348,90871,2,0,0,1,87,0,,0.0,0,2,280.0,1,False
97,2022-12-24 22:15:28,27916796,90918,3,3,0,1,0,0,,0.0,0,0,0.0,1,False
98,2022-12-24 00:44:36,27940210,89743,17,17,7,2,26,0,,0.0,0,0,11880.0,1,False
99,2022-12-24 08:45:55,28054152,89978,5,2,9,2,171,0,,0.0,0,3,15340.0,3,False
100,2022-12-24 18:39:07,28106040,90636,12,12,0,1,4,0,,0.0,0,0,3360.0,1,False
101,2022-12-24 16:35:28,28185528,90448,1,1,0,1,0,0,,0.0,0,0,0.0,1,False
102,2022-12-24 15:33:35,28231620,90401,20,16,11,3,173,0,,0.0,0,4,26680.0,3,False
103,2022-12-24 20:46:11,28371759,90777,91,81,20,3,172,1,,0.0,0,10,90600.0,0,False
104,2022-12-24 09:12:16,28376106,90025,11,11,0,1,1,0,,0.0,0,0,2240.0,1,False
105,2022-12-24 14:35:19,28376543,90354,12,12,0,1,2,0,,0.0,0,0,1400.0,1,True
106,2022-12-24 03:37:51,28411871,89790,62,48,19,4,170,0,,0.0,0,14,113580.0,0,True
107,2022-12-24 18:56:05,28459021,90683,16,8,5,2,173,0,,0.0,0,8,9800.0,3,False
108,2022-11-01 19:21:02,17351194,50686,118,113,27,4,171,1,,0.0,0,5,120860.0,0,False
109,2022-11-01 15:21:07,18644852,50545,33,29,8,2,170,0,,0.0,0,4,27060.0,3,False
110,2022-11-01 05:48:21,19065729,50357,61,51,21,3,170,0,,0.0,0,10,94280.0,0,False
111,2022-11-01 14:29:58,20055327,50498,1,0,0,1,86,0,,0.0,0,1,0.0,1,False
112,2022-11-01 18:55:16,20309339,50639,16,7,1,1,168,0,,0.0,0,9,10260.0,3,False
113,2022-11-01 06:04:56,20363665,50404,26,24,11,3,171,0,,0.0,0,2,24680.0,3,False
